"","County","State","Age.AdjustedCANCERcases_per100000","Recent.Trend","Average.Annual.Count"
"756","Dorchester"," Maryland",491.7,"stable",225
"757","Dorchester"," South Carolina",469.1,"stable",719
"758","Dougherty"," Georgia",482.2,"stable",494
"759","Douglas"," Colorado",394.2,"stable",1144
"760","Douglas"," Georgia",474.9,"stable",625
"761","Douglas"," Illinois",504.8,"stable",124
"762","Douglas"," Missouri",330.9,"stable",71
"763","Douglas"," Nebraska",472.3,"stable",2547
"764","Douglas"," Nevada",403.9,"stable",317
"765","Douglas"," Oregon",408.3,"stable",697
"766","Douglas"," South Dakota",473.3,"stable",20
"767","Douglas"," Washington",447.9,"stable",217
"768","Douglas"," Wisconsin",479.8,"stable",267
"769","Drew"," Arkansas",454.7,"rising",101
"770","Dubois"," Indiana",453,"stable",235
"771","Dubuque"," Iowa",499.4,"stable",589
"772","Duchesne"," Utah",464.5,"stable",82
"773","Dukes"," Massachusetts",491.4,"falling",123
"774","Dundy"," Nebraska",458.5,"stable",15
"775","Dunklin"," Missouri",450.7,"stable",180
"776","Dunn"," North Dakota",346.5,"stable",17
"777","Dunn"," Wisconsin",402,"stable",194
"778","DuPage"," Illinois",458.1,"stable",4796
"779","Duplin"," North Carolina",426,"stable",312
"780","Durham"," North Carolina",445.8,"stable",1283
"781","Dutchess"," New York",475.3,"falling",1756
"782","Duval"," Florida",524.4,"stable",5036
"783","Duval"," Texas",369.4,"stable",51
"784","Dyer"," Tennessee",450.1,"stable",207
"785","Eagle"," Colorado",338.8,"stable",160
"786","Early"," Georgia",463.7,"stable",65
"787","East Baton Rouge Parish"," Louisiana",476.6,"stable",2182
"788","East Carroll Parish"," Louisiana",535.1,"stable",43
"789","East Feliciana Parish"," Louisiana",536.8,"stable",135
"790","Eastland"," Texas",413.1,"stable",111
"791","Eaton"," Michigan",472.7,"stable",643
"792","Eau Claire"," Wisconsin",447.1,"stable",498
"793","Echols"," Georgia",426.9,"stable",17
"794","Ector"," Texas",409.3,"stable",537
"795","Eddy"," New Mexico",375.8,"falling",238
"796","Eddy"," North Dakota",394.9,"stable",15
"797","Edgar"," Illinois",452.4,"stable",117
"798","Edgecombe"," North Carolina",452,"stable",320
"799","Edgefield"," South Carolina",399.5,"stable",138
"800","Edmonson"," Kentucky",519.8,"stable",87
"801","Edmunds"," South Dakota",492,"stable",29
"802","Edwards"," Illinois",456.7,"stable",43
"803","Edwards"," Texas",322.5,"stable",10
"804","Effingham"," Georgia",484.3,"stable",262
"805","Effingham"," Illinois",491.3,"stable",209
"806","El Dorado"," California",441.5,"falling",1126
"807","El Paso"," Colorado",431.9,"stable",2807
"808","El Paso"," Texas",393.6,"stable",3044
"809","Elbert"," Colorado",375,"stable",111
"810","Elbert"," Georgia",466.9,"stable",124
"811","Elk"," Pennsylvania",529.7,"stable",241
"812","Elkhart"," Indiana",428.9,"stable",924
"813","Elko"," Nevada",376.3,"stable",176
"814","Elliott"," Kentucky",408.9,"stable",40
"815","Ellis"," Oklahoma",414,"stable",25
"816","Ellis"," Texas",435.8,"stable",701
"817","Elmore"," Alabama",485.8,"rising",436
"818","Elmore"," Idaho",465.2,"falling",117
"819","Emanuel"," Georgia",424.3,"stable",113
"820","Emery"," Utah",417.1,"stable",49
"821","Emmet"," Iowa",517.9,"stable",70
"822","Emmet"," Michigan",471.7,"stable",224
"823","Emmons"," North Dakota",377.3,"stable",24
"824","Emporia City"," Virginia",442.9,"stable",31
"825","Erath"," Texas",395.8,"stable",165
"826","Erie"," New York",548.5,"stable",6416
"827","Erie"," Ohio",497.3,"stable",533
"828","Erie"," Pennsylvania",475.2,"stable",1625
"829","Escambia"," Alabama",440.7,"stable",210
"830","Escambia"," Florida",476.4,"stable",1748
"831","Esmeralda"," Nevada",526.9,"stable",7
"832","Essex"," Massachusetts",459.3,"falling",4323
"833","Essex"," New Jersey",457.4,"falling",3858
"834","Essex"," New York",472.6,"falling",272
"835","Essex"," Vermont",489.5,"stable",46
"836","Essex"," Virginia",479,"stable",76
"837","Estill"," Kentucky",597.4,"stable",110
"838","Etowah"," Alabama",478.7,"stable",640
"839","Eureka"," Nevada",227.5,"falling",6
"840","Evangeline Parish"," Louisiana",492.3,"stable",187
"841","Evans"," Georgia",445.6,"stable",55
"842","Fairbanks North Star"," Alaska",391.9,"stable",316
"843","Fairfax"," Virginia",345.1,"stable",4029
"844","Fairfax City"," Virginia",386.8,"stable",102
"845","Fairfield"," Connecticut",467.7,"stable",5172
"846","Fairfield"," Ohio",454.6,"stable",786
"847","Fairfield"," South Carolina",441.3,"stable",144
"848","Fall River"," South Dakota",489.5,"stable",58
"849","Fallon"," Montana",432.8,"stable",16
"850","Falls"," Texas",446.9,"stable",99
"851","Falls Church City"," Virginia",363,"stable",51
"852","Fannin"," Georgia",492.8,"stable",200
"853","Fannin"," Texas",467.3,"stable",211
"854","Faulk"," South Dakota",443,"stable",17
"855","Faulkner"," Arkansas",484.4,"stable",542
"856","Fauquier"," Virginia",412.5,"stable",335
"857","Fayette"," Alabama",446.3,"stable",105
"858","Fayette"," Georgia",457.1,"stable",626
"859","Fayette"," Illinois",424.6,"stable",124
"860","Fayette"," Indiana",420.9,"stable",133
"861","Fayette"," Iowa",482.6,"stable",142
"862","Fayette"," Kentucky",490.4,"falling",1528
"863","Fayette"," Ohio",476.1,"stable",173
"864","Fayette"," Pennsylvania",482.8,"stable",917
"865","Fayette"," Tennessee",426.5,"stable",237
"866","Fayette"," Texas",389.6,"stable",154
"867","Fayette"," West Virginia",501.9,"stable",312
"868","Fentress"," Tennessee",491.8,"stable",123
"869","Fergus"," Montana",414.9,"stable",73
"870","Ferry"," Washington",299.5,"stable",35
"871","Fillmore"," Nebraska",454.8,"stable",41
"872","Fisher"," Texas",369.3,"stable",22
"873","Flagler"," Florida",480.2,"stable",874
"874","Flathead"," Montana",527,"stable",651
"875","Fleming"," Kentucky",536.9,"stable",98
"876","Florence"," South Carolina",471.1,"falling",770
"877","Florence"," Wisconsin",411.1,"stable",30
"878","Floyd"," Georgia",466.6,"stable",539
"879","Floyd"," Indiana",472.5,"stable",417
"880","Floyd"," Iowa",521.3,"stable",118
"881","Floyd"," Kentucky",589.8,"stable",279
"882","Floyd"," Texas",402.7,"stable",32
"883","Floyd"," Virginia",389,"stable",87
"884","Fluvanna"," Virginia",465.1,"stable",160
"885","Foard"," Texas",404.9,"stable",8
"886","Fond du Lac"," Wisconsin",479.7,"stable",624
"887","Ford"," Illinois",504.2,"stable",94
"888","Forest"," Pennsylvania",390.7,"stable",43
"889","Forest"," Wisconsin",523.1,"stable",75
"890","Forrest"," Mississippi",517,"stable",391
"891","Forsyth"," Georgia",494.6,"stable",950
"892","Forsyth"," North Carolina",487.9,"stable",2050
"893","Fort Bend"," Texas",370.4,"falling",2300
"894","Foster"," North Dakota",470.4,"falling",23
"895","Fountain"," Indiana",481.6,"stable",109
"896","Franklin"," Alabama",430.9,"stable",162
"897","Franklin"," Arkansas",425.8,"stable",101
"898","Franklin"," Florida",418.9,"stable",70
"899","Franklin"," Georgia",512.9,"rising",150
"900","Franklin"," Idaho",330.3,"stable",44
"901","Franklin"," Illinois",552.9,"stable",301
"902","Franklin"," Indiana",461.1,"stable",132
"903","Franklin"," Iowa",510.9,"rising",75
"904","Franklin"," Kentucky",512.7,"falling",316
"905","Franklin"," Maine",450.5,"stable",191
"906","Franklin"," Massachusetts",388.6,"falling",393
"907","Franklin"," Mississippi",540.8,"stable",55
"908","Franklin"," Missouri",488.5,"stable",612
"909","Franklin"," Nebraska",419.7,"rising",23
"910","Franklin"," New York",465.8,"falling",286
"911","Franklin"," North Carolina",455.5,"stable",349
"912","Franklin"," Ohio",465,"stable",5521
"913","Franklin"," Pennsylvania",439.2,"stable",876
"914","Franklin"," Tennessee",487.1,"stable",269
"915","Franklin"," Texas",405.7,"stable",60
"916","Franklin"," Vermont",442.8,"stable",251
"917","Franklin"," Virginia",414,"stable",340
"918","Franklin"," Washington",368.5,"stable",244
"919","Franklin City"," Virginia",527.8,"stable",56
"920","Franklin Parish"," Louisiana",494.7,"stable",128
"921","Frederick"," Maryland",451.4,"stable",1213
"922","Frederick"," Virginia",403.5,"stable",402
"923","Fredericksburg City"," Virginia",497.9,"stable",119
"924","Freestone"," Texas",439.3,"stable",116
"925","Fremont"," Colorado",435.6,"stable",292
"926","Fremont"," Idaho",395.2,"stable",60
"927","Fremont"," Iowa",476.2,"stable",52
"928","Fremont"," Wyoming",406.2,"stable",204
"929","Fresno"," California",396,"falling",3541
"930","Frio"," Texas",341.6,"stable",60
"931","Frontier"," Nebraska",340.7,"stable",13
"932","Fulton"," Arkansas",421.1,"stable",84
"933","Fulton"," Georgia",468.3,"falling",4393
"934","Fulton"," Illinois",470.2,"stable",232
"935","Fulton"," Indiana",431,"falling",116
"936","Fulton"," Kentucky",516,"stable",45
"937","Fulton"," New York",546,"stable",396
"938","Fulton"," Ohio",446.5,"rising",234
"939","Fulton"," Pennsylvania",483.2,"stable",99
"940","Furnas"," Nebraska",472.5,"stable",36
"941","Gadsden"," Florida",442.1,"stable",253
"942","Gage"," Nebraska",447.4,"stable",142
"943","Gaines"," Texas",343.8,"stable",52
"944","Galax City"," Virginia",446.7,"stable",42
"945","Gallatin"," Illinois",465.3,"stable",36
"946","Gallatin"," Kentucky",521.9,"stable",50
"947","Gallatin"," Montana",427.2,"stable",395
"948","Gallia"," Ohio",453,"stable",180
"949","Galveston"," Texas",400.7,"falling",1377
"950","Garden"," Nebraska",458.6,"stable",17
"951","Garfield"," Colorado",411.9,"stable",233
"952","Garfield"," Montana",308.1,"stable",6
"953","Garfield"," Nebraska",525.4,"stable",17
"954","Garfield"," Oklahoma",444.9,"stable",322
"955","Garfield"," Utah",349.8,"stable",25
"956","Garfield"," Washington",255.3,"stable",10
"957","Garland"," Arkansas",495.8,"stable",729
"958","Garrard"," Kentucky",540,"stable",119
"959","Garrett"," Maryland",408.2,"stable",175
"960","Garvin"," Oklahoma",516.9,"stable",180
"961","Garza"," Texas",404,"stable",25
"962","Gasconade"," Missouri",475.9,"stable",106
"963","Gaston"," North Carolina",492.6,"stable",1239
"964","Gates"," North Carolina",372.1,"stable",58
"965","Geauga"," Ohio",436.7,"stable",553
"966","Gem"," Idaho",495.7,"falling",120
"967","Genesee"," Michigan",479,"stable",2418
"968","Genesee"," New York",507.2,"stable",393
"969","Geneva"," Alabama",445.4,"stable",165
"970","Gentry"," Missouri",410.5,"stable",38
"971","George"," Mississippi",395.9,"stable",101
"972","Georgetown"," South Carolina",463,"stable",445
"973","Gibson"," Indiana",443.2,"stable",187
"974","Gibson"," Tennessee",459.5,"stable",291
"975","Gila"," Arizona",332.9,"stable",297
"976","Gilchrist"," Florida",448.3,"falling",102
"977","Giles"," Tennessee",443.9,"stable",177
"978","Giles"," Virginia",422.2,"stable",102
"979","Gillespie"," Texas",378.5,"stable",170
"980","Gilliam"," Oregon",417.3,"stable",13
"981","Gilmer"," Georgia",480.3,"stable",211
"982","Gilmer"," West Virginia",494.8,"stable",50
"983","Gilpin"," Colorado",365.7,"stable",26
"984","Glacier"," Montana",446.6,"stable",58
"985","Glades"," Florida",358.4,"stable",73
"986","Gladwin"," Michigan",447,"stable",193
"987","Glascock"," Georgia",446.9,"*",17
"988","Glenn"," California",471.4,"stable",151
"989","Gloucester"," New Jersey",539.5,"falling",1813
"990","Gloucester"," Virginia",523.2,"stable",262
"991","Glynn"," Georgia",455.3,"falling",484
"992","Gogebic"," Michigan",396.9,"stable",100
"993","Golden Valley"," Montana",596.4,"stable",8
"994","Golden Valley"," North Dakota",518.8,"stable",14
"995","Goliad"," Texas",416.8,"stable",46
"996","Gonzales"," Texas",371.9,"stable",91
"997","Goochland"," Virginia",508.6,"stable",160
"998","Gooding"," Idaho",441.5,"stable",80
"999","Gordon"," Georgia",477.7,"stable",294
"1000","Goshen"," Wyoming",339.3,"stable",68
"1001","Gosper"," Nebraska",433.6,"stable",13
"1002","Grady"," Georgia",464.7,"stable",143
"1003","Grady"," Oklahoma",421.4,"stable",268
"1004","Grafton"," New Hampshire",454.9,"stable",552
"1005","Graham"," Arizona",399.2,"stable",149
"1006","Graham"," North Carolina",400.6,"stable",52
"1007","Grainger"," Tennessee",501.2,"stable",158
"1008","Grand"," Colorado",303.6,"stable",52
"1009","Grand"," Utah",397.5,"stable",47
"1010","Grand Forks"," North Dakota",456.8,"stable",293
"1011","Grand Isle"," Vermont",481.4,"stable",45
"1012","Grand Traverse"," Michigan",516,"stable",610
"1013","Granite"," Montana",361.2,"falling",20
"1014","Grant"," Arkansas",522,"stable",118
"1015","Grant"," Indiana",514.8,"stable",459
"1016","Grant"," Kentucky",536.5,"stable",137
"1017","Grant"," Nebraska",520.4,"stable",4
"1018","Grant"," New Mexico",339.9,"falling",155
"1019","Grant"," North Dakota",440.9,"stable",20
"1020","Grant"," Oklahoma",443.9,"stable",29
"1021","Grant"," Oregon",357.3,"stable",42
"1022","Grant"," South Dakota",462.5,"stable",48
"1023","Grant"," Washington",437.1,"stable",408
"1024","Grant"," West Virginia",372.1,"stable",65
"1025","Grant"," Wisconsin",475.5,"stable",294
"1026","Grant Parish"," Louisiana",437.4,"stable",109
"1027","Granville"," North Carolina",495.8,"stable",354
"1028","Gratiot"," Michigan",426.8,"stable",215
"1029","Graves"," Kentucky",483.6,"stable",231
"1030","Gray"," Texas",440.7,"falling",121
"1031","Grays Harbor"," Washington",504,"falling",509
"1032","Grayson"," Kentucky",533.2,"stable",173
"1033","Grayson"," Texas",479.5,"stable",754
"1034","Grayson"," Virginia",388.9,"stable",96
"1035","Greeley"," Nebraska",393.2,"stable",16
"1036","Green"," Kentucky",529.9,"rising",82
"1037","Green"," Wisconsin",421.1,"stable",200
"1038","Green Lake"," Wisconsin",397.6,"stable",110
"1039","Greenbrier"," West Virginia",502.7,"stable",261
"1040","Greene"," Alabama",468.2,"stable",56
"1041","Greene"," Arkansas",459.9,"stable",234
"1042","Greene"," Georgia",492.9,"*",136
"1043","Greene"," Illinois",531.8,"stable",96
"1044","Greene"," Indiana",447.9,"stable",197
"1045","Greene"," Iowa",537.8,"rising",73
"1046","Greene"," Mississippi",399,"stable",60
"1047","Greene"," Missouri",417.1,"stable",1362
"1048","Greene"," New York",516.9,"stable",355
"1049","Greene"," North Carolina",393.5,"stable",101
"1050","Greene"," Ohio",440.3,"stable",866
"1051","Greene"," Pennsylvania",485.3,"stable",236
"1052","Greene"," Tennessee",465.3,"rising",450
"1053","Greene"," Virginia",400.8,"stable",92
"1054","Greenlee"," Arizona",374.5,"stable",35
"1055","Greensville"," Virginia",479.7,"rising",70
"1056","Greenup"," Kentucky",525.4,"stable",265
"1057","Greenville"," South Carolina",464.9,"stable",2543
"1058","Greenwood"," South Carolina",440.9,"falling",382
"1059","Greer"," Oklahoma",494.2,"stable",38
"1060","Gregg"," Texas",486.6,"stable",665
"1061","Gregory"," South Dakota",494,"stable",33
"1062","Grenada"," Mississippi",526,"stable",142
"1063","Griggs"," North Dakota",393.2,"stable",15
"1064","Grimes"," Texas",373.6,"stable",129
"1065","Grundy"," Illinois",540.9,"stable",287
"1066","Grundy"," Iowa",476.5,"stable",85
"1067","Grundy"," Missouri",441.2,"stable",63
"1068","Grundy"," Tennessee",489.4,"stable",91
"1069","Guadalupe"," New Mexico",377.9,"stable",22
"1070","Guadalupe"," Texas",421.7,"stable",646
"1071","Guernsey"," Ohio",485.1,"stable",253
"1072","Guilford"," North Carolina",481,"stable",2744
"1073","Gulf"," Florida",452.4,"stable",99
"1074","Gunnison"," Colorado",350.9,"stable",55
"1075","Guthrie"," Iowa",462.4,"stable",75
"1076","Gwinnett"," Georgia",449,"stable",3323
"1077","Haakon"," South Dakota",542,"falling",17
"1078","Habersham"," Georgia",487.6,"stable",264
"1079","Haines Borough"," Alaska",368.4,"stable",12
"1080","Hale"," Alabama",399.7,"stable",80
"1081","Hale"," Texas",377.7,"stable",131
"1082","Halifax"," North Carolina",486.9,"stable",352
"1083","Halifax with South Boston City"," Virginia",438.7,"rising",234
"1084","Hall"," Georgia",489.7,"stable",981
"1085","Hall"," Nebraska",476.9,"stable",323
"1086","Hall"," Texas",486.8,"stable",22
"1087","Hamblen"," Tennessee",469.7,"stable",380
"1088","Hamilton"," Florida",412,"stable",72
"1089","Hamilton"," Illinois",533.7,"stable",64
"1090","Hamilton"," Indiana",444.7,"stable",1259
"1091","Hamilton"," Iowa",493.7,"stable",105
"1092","Hamilton"," Nebraska",453.1,"stable",56
"1093","Hamilton"," New York",561.1,"stable",49
"1094","Hamilton"," Ohio",469.1,"stable",4320
"1095","Hamilton"," Tennessee",458.1,"stable",1987
"1096","Hamilton"," Texas",439.1,"stable",58
"1097","Hamlin"," South Dakota",448.4,"stable",31
"1098","Hampden"," Massachusetts",427.6,"falling",2393
"1099","Hampshire"," Massachusetts",410.2,"falling",754
"1100","Hampshire"," West Virginia",463.9,"stable",152
"1101","Hampton"," South Carolina",412.6,"stable",104
"1102","Hampton City"," Virginia",471,"stable",723
"1103","Hancock"," Georgia",392.3,"*",51
"1104","Hancock"," Illinois",457.9,"rising",124
"1105","Hancock"," Indiana",474.8,"stable",400
"1106","Hancock"," Iowa",473.7,"stable",79
"1107","Hancock"," Kentucky",435.7,"stable",46
"1108","Hancock"," Maine",482.8,"stable",409
"1109","Hancock"," Mississippi",468.8,"stable",282
"1110","Hancock"," Ohio",451.3,"stable",412
"1111","Hancock"," Tennessee",544.3,"stable",51
"1112","Hancock"," West Virginia",488.2,"stable",217
"1113","Hand"," South Dakota",429.1,"stable",22
"1114","Hanover"," Virginia",470.1,"stable",600
"1115","Hansford"," Texas",376.4,"stable",24
"1116","Hanson"," South Dakota",572.8,"stable",20
"1117","Haralson"," Georgia",511.4,"stable",175
"1118","Hardee"," Florida",438.1,"stable",131
"1119","Hardeman"," Tennessee",495.6,"stable",163
"1120","Hardeman"," Texas",368.5,"stable",21
"1121","Hardin"," Illinois",439.3,"stable",30
"1122","Hardin"," Iowa",507,"stable",130
"1123","Hardin"," Kentucky",538.5,"stable",606
"1124","Hardin"," Ohio",482.5,"rising",171
"1125","Hardin"," Tennessee",462.5,"stable",175
"1126","Hardin"," Texas",434.8,"stable",287
"1127","Harding"," New Mexico",481.5,"stable",6
"1128","Harding"," South Dakota",351.1,"stable",5
"1129","Hardy"," West Virginia",394.5,"stable",77
"1130","Harford"," Maryland",502.1,"stable",1483
"1131","Harlan"," Kentucky",549.8,"stable",196
"1132","Harlan"," Nebraska",404.8,"stable",23
"1133","Harmon"," Oklahoma",497,"stable",19
"1134","Harnett"," North Carolina",470.6,"falling",566
"1135","Harney"," Oregon",326.6,"stable",37
"1136","Harper"," Oklahoma",500.5,"stable",24
"1137","Harris"," Georgia",457.4,"stable",193
"1138","Harris"," Texas",400.1,"falling",15446
"1139","Harrison"," Indiana",465.4,"stable",225
"1140","Harrison"," Iowa",470.1,"stable",91
"1141","Harrison"," Kentucky",523.2,"stable",123
"1142","Harrison"," Mississippi",498.6,"stable",1072
"1143","Harrison"," Missouri",445.1,"stable",55
"1144","Harrison"," Ohio",383.5,"stable",88
"1145","Harrison"," Texas",421.8,"stable",332
"1146","Harrison"," West Virginia",488.3,"stable",452
"1147","Harrisonburg City"," Virginia",386.7,"stable",147
"1148","Hart"," Georgia",458.2,"stable",167
"1149","Hart"," Kentucky",533.1,"stable",123
"1150","Hartford"," Connecticut",468.2,"falling",5173
"1151","Hartley"," Texas",327.8,"stable",21
"1152","Haskell"," Oklahoma",395.5,"stable",68
"1153","Haskell"," Texas",422.5,"stable",36
"1154","Hawaii"," Hawaii",380.4,"falling",993
"1155","Hawkins"," Tennessee",490.4,"stable",379
"1156","Hayes"," Nebraska",241.4,"stable",3
"1157","Hays"," Texas",387.2,"stable",621
"1158","Haywood"," North Carolina",496.5,"stable",461
"1159","Haywood"," Tennessee",458,"stable",104
"1160","Heard"," Georgia",508.6,"stable",73
"1161","Hemphill"," Texas",390.8,"stable",17
"1162","Hempstead"," Arkansas",386.3,"stable",108
"1163","Henderson"," Illinois",412.8,"stable",48
"1164","Henderson"," Kentucky",490.9,"stable",283
"1165","Henderson"," North Carolina",465.8,"stable",830
"1166","Henderson"," Tennessee",458.4,"stable",162
"1167","Henderson"," Texas",483.5,"stable",553
"1168","Hendricks"," Indiana",471.8,"rising",760
"1169","Hendry"," Florida",378.9,"stable",151
"1170","Henrico"," Virginia",446.5,"stable",1618
"1171","Henry"," Alabama",451.1,"stable",109
"1172","Henry"," Georgia",483.5,"falling",991
"1173","Henry"," Illinois",476.5,"stable",326
"1174","Henry"," Indiana",467.6,"stable",300
"1175","Henry"," Iowa",485.6,"stable",125
"1176","Henry"," Kentucky",522.2,"stable",104
"1177","Henry"," Missouri",540.8,"stable",170
"1178","Henry"," Ohio",459.4,"stable",162
"1179","Henry"," Tennessee",480,"stable",234
"1180","Henry"," Virginia",410.6,"stable",327
"1181","Herkimer"," New York",518,"stable",448
"1182","Hernando"," Florida",536.7,"stable",1617
"1183","Hertford"," North Carolina",399.2,"stable",130
"1184","Hettinger"," North Dakota",417.2,"stable",17
"1185","Hickman"," Kentucky",404.5,"stable",29
"1186","Hickman"," Tennessee",447.8,"stable",136
"1187","Hickory"," Missouri",346.6,"stable",62
"1188","Hidalgo"," New Mexico",360,"stable",23
"1189","Hidalgo"," Texas",333.2,"stable",2307
"1190","Highland"," Ohio",459.2,"stable",247
"1191","Highland"," Virginia",496,"stable",20
"1192","Highlands"," Florida",431.2,"falling",810
"1193","Hill"," Montana",415.2,"stable",75
"1194","Hill"," Texas",437.7,"stable",213
"1195","Hillsborough"," Florida",477.8,"falling",6804
"1196","Hillsborough"," New Hampshire",474,"stable",2246
"1197","Hillsdale"," Michigan",374.5,"stable",227
"1198","Hinds"," Mississippi",469.5,"stable",1194
"1199","Hinsdale"," Colorado",322.7,"stable",4
"1200","Hitchcock"," Nebraska",523.7,"stable",22
"1201","Hocking"," Ohio",453.6,"stable",169
"1202","Hockley"," Texas",379.2,"stable",96
"1203","Hoke"," North Carolina",425.9,"stable",183
"1204","Holmes"," Florida",277.6,"stable",73
"1205","Holmes"," Mississippi",553,"stable",110
"1206","Holmes"," Ohio",374.8,"stable",160
"1207","Holt"," Missouri",391,"stable",27
"1208","Holt"," Nebraska",432.6,"stable",65
"1209","Honolulu"," Hawaii",425.1,"stable",4971
"1210","Hood"," Texas",424.4,"stable",368
"1211","Hood River"," Oregon",391.8,"stable",100
"1212","Hooker"," Nebraska",414.5,"stable",5
"1213","Hopewell City"," Virginia",508.6,"stable",134
"1214","Hopkins"," Kentucky",483.1,"stable",288
"1215","Hopkins"," Texas",462.1,"falling",203
"1216","Horry"," South Carolina",461.9,"stable",1984
"1217","Hot Spring"," Arkansas",439.3,"stable",193
"1218","Hot Springs"," Wyoming",446.5,"stable",34
"1219","Houghton"," Michigan",388.2,"stable",163
"1220","Houston"," Alabama",440.7,"stable",564
"1221","Houston"," Georgia",455.9,"stable",675
"1222","Houston"," Tennessee",492.8,"stable",55
"1223","Houston"," Texas",490.5,"rising",164
"1224","Howard"," Arkansas",421.5,"stable",70
"1225","Howard"," Indiana",479.3,"rising",513
"1226","Howard"," Iowa",435.8,"stable",55
"1227","Howard"," Maryland",403.7,"stable",1318
"1228","Howard"," Missouri",373.6,"stable",49
"1229","Howard"," Nebraska",452.8,"stable",42
"1230","Howard"," Texas",391.1,"falling",151
"1231","Howell"," Missouri",367.7,"stable",196
"1232","Hudson"," New Jersey",391.6,"falling",2519
"1233","Hudspeth"," Texas",251.9,"stable",10
"1234","Huerfano"," Colorado",362.6,"stable",45
"1235","Hughes"," Oklahoma",482,"stable",88
"1236","Hughes"," South Dakota",460.2,"stable",98
"1237","Humboldt"," California",439.4,"falling",714
"1238","Humboldt"," Iowa",464.5,"stable",65
"1239","Humboldt"," Nevada",361.7,"stable",63
"1240","Humphreys"," Mississippi",491.1,"stable",50
"1241","Humphreys"," Tennessee",484.8,"stable",127
"1242","Hunt"," Texas",462.9,"stable",487
"1243","Hunterdon"," New Jersey",479.8,"stable",784
"1244","Huntingdon"," Pennsylvania",435.5,"stable",270
"1245","Huntington"," Indiana",425.3,"stable",192
"1246","Huron"," Michigan",456.6,"stable",234
"1247","Huron"," Ohio",468.2,"stable",325
"1248","Hutchinson"," South Dakota",426.8,"stable",48
"1249","Hutchinson"," Texas",457.9,"stable",120
"1250","Hyde"," North Carolina",360.3,"stable",28
"1251","Hyde"," South Dakota",516.6,"stable",11
"1252","Iberia Parish"," Louisiana",485.4,"falling",391
"1253","Iberville Parish"," Louisiana",531.9,"falling",205
"1254","Ida"," Iowa",486.6,"stable",52
"1255","Idaho"," Idaho",401.9,"stable",109
"1256","Imperial"," California",391.2,"stable",670
"1257","Independence"," Arkansas",465.4,"stable",217
"1258","Indian River"," Florida",453.1,"stable",1218
"1259","Indiana"," Pennsylvania",435.2,"stable",476
"1260","Ingham"," Michigan",454.6,"stable",1280
"1261","Inyo"," California",443.5,"stable",121
"1262","Ionia"," Michigan",439.8,"stable",309
"1263","Iosco"," Michigan",410.9,"stable",193
"1264","Iowa"," Iowa",462.9,"stable",99
"1265","Iowa"," Wisconsin",441.1,"stable",132
"1266","Iredell"," North Carolina",480.8,"stable",932
"1267","Irion"," Texas",397.7,"stable",9
"1268","Iron"," Michigan",341.1,"stable",75
"1269","Iron"," Missouri",543.7,"stable",82
"1270","Iron"," Utah",442.2,"stable",187
"1271","Iron"," Wisconsin",448.1,"stable",52
"1272","Iroquois"," Illinois",473,"stable",195
"1273","Irwin"," Georgia",472,"stable",55
"1274","Isabella"," Michigan",378.8,"stable",234
"1275","Island"," Washington",476.2,"falling",569
"1276","Isle of Wight"," Virginia",429.1,"stable",207
"1277","Issaquena"," Mississippi",272.7,"stable",5
"1278","Itawamba"," Mississippi",484,"stable",139
"1279","Izard"," Arkansas",382.1,"stable",87
"1280","Jack"," Texas",356,"stable",39
"1281","Jackson"," Alabama",457.4,"stable",324
"1282","Jackson"," Arkansas",483.6,"stable",110
"1283","Jackson"," Colorado",282.8,"stable",5
"1284","Jackson"," Florida",327.7,"stable",212
"1285","Jackson"," Georgia",509.9,"stable",356
"1286","Jackson"," Illinois",434.4,"stable",262
"1287","Jackson"," Indiana",468.1,"stable",241
"1288","Jackson"," Iowa",500.4,"stable",136
"1289","Jackson"," Kentucky",510.7,"stable",84
"1290","Jackson"," Michigan",462.3,"stable",919
"1291","Jackson"," Mississippi",455.2,"stable",738
"1292","Jackson"," Missouri",458.9,"stable",3500
"1293","Jackson"," North Carolina",396.8,"stable",209
"1294","Jackson"," Ohio",487.9,"stable",192
"1295","Jackson"," Oklahoma",466.7,"stable",130
"1296","Jackson"," Oregon",423,"stable",1264
"1297","Jackson"," South Dakota",351.6,"stable",12
"1298","Jackson"," Tennessee",406.7,"stable",71
"1299","Jackson"," Texas",482.7,"stable",87
"1300","Jackson"," West Virginia",469.6,"stable",190
"1301","Jackson"," Wisconsin",402.3,"stable",109
"1302","Jackson Parish"," Louisiana",458.6,"stable",97
"1303","James City"," Virginia",460.4,"stable",505
"1304","Jasper"," Georgia",515.7,"*",88
"1305","Jasper"," Illinois",487.1,"stable",65
"1306","Jasper"," Indiana",448.8,"stable",180
"1307","Jasper"," Iowa",452.7,"stable",222
"1308","Jasper"," Mississippi",469.5,"stable",107
"1309","Jasper"," Missouri",475.1,"stable",626
"1310","Jasper"," South Carolina",435.9,"stable",143
"1311","Jasper"," Texas",481.8,"stable",223
"1312","Jay"," Indiana",493.5,"stable",130
"1313","Jeff Davis"," Georgia",415.2,"falling",72
"1314","Jeff Davis"," Texas",237.1,"stable",11
"1315","Jefferson"," Alabama",455.5,"stable",3478
"1316","Jefferson"," Arkansas",495.7,"stable",435
