"","County","State","Age.AdjustedCANCERcases_per100000","Recent.Trend","Average.Annual.Count"
"335","Calhoun"," South Carolina",445.6,"stable",97
"336","Calhoun"," Texas",437.4,"stable",114
"337","Calhoun"," West Virginia",415.1,"stable",48
"338","Callahan"," Texas",416.7,"stable",81
"339","Callaway"," Missouri",457.2,"stable",236
"340","Calloway"," Kentucky",457.9,"stable",204
"341","Calumet"," Wisconsin",443.5,"stable",245
"342","Calvert"," Maryland",459.6,"stable",471
"343","Camas"," Idaho",444.8,"stable",7
"344","Cambria"," Pennsylvania",479.7,"stable",958
"345","Camden"," Georgia",456.7,"stable",223
"346","Camden"," Missouri",415.3,"stable",317
"347","Camden"," New Jersey",519.8,"stable",3061
"348","Camden"," North Carolina",437.3,"stable",54
"349","Cameron"," Pennsylvania",502.4,"stable",41
"350","Cameron"," Texas",378.3,"stable",1512
"351","Cameron Parish"," Louisiana",476.2,"stable",39
"352","Camp"," Texas",461.2,"stable",74
"353","Campbell"," Kentucky",517.4,"stable",543
"354","Campbell"," South Dakota",411.1,"stable",10
"355","Campbell"," Tennessee",510.8,"stable",287
"356","Campbell"," Virginia",426.6,"stable",317
"357","Campbell"," Wyoming",370.9,"stable",148
"358","Canadian"," Oklahoma",439.4,"stable",576
"359","Candler"," Georgia",383.5,"stable",53
"360","Cannon"," Tennessee",458.7,"falling",84
"361","Canyon"," Idaho",469.4,"stable",929
"362","Cape Girardeau"," Missouri",443.4,"stable",405
"363","Cape May"," New Jersey",561.5,"stable",878
"364","Carbon"," Montana",421.2,"stable",71
"365","Carbon"," Pennsylvania",490,"falling",451
"366","Carbon"," Utah",421.3,"stable",101
"367","Carbon"," Wyoming",386.9,"stable",71
"368","Caribou"," Idaho",385.6,"stable",32
"369","Carlisle"," Kentucky",493.7,"stable",34
"370","Caroline"," Maryland",482.6,"falling",190
"371","Caroline"," Virginia",498.9,"stable",177
"372","Carroll"," Arkansas",423.1,"stable",175
"373","Carroll"," Georgia",496,"stable",569
"374","Carroll"," Illinois",463.9,"stable",105
"375","Carroll"," Indiana",461.2,"stable",122
"376","Carroll"," Iowa",518.8,"stable",149
"377","Carroll"," Kentucky",596.8,"stable",74
"378","Carroll"," Maryland",486,"stable",994
"379","Carroll"," Mississippi",418.2,"stable",65
"380","Carroll"," Missouri",490.2,"stable",63
"381","Carroll"," New Hampshire",463.9,"stable",370
"382","Carroll"," Ohio",452,"stable",179
"383","Carroll"," Tennessee",521.7,"stable",201
"384","Carroll"," Virginia",355.1,"stable",161
"385","Carson"," Texas",337.6,"stable",27
"386","Carson City"," Nevada",452.5,"stable",339
"387","Carter"," Kentucky",580.6,"stable",197
"388","Carter"," Missouri",452.4,"stable",37
"389","Carter"," Montana",360.4,"stable",7
"390","Carter"," Oklahoma",476.6,"stable",278
"391","Carter"," Tennessee",419.1,"stable",332
"392","Carteret"," North Carolina",462.7,"stable",485
"393","Cascade"," Montana",432.2,"stable",447
"394","Casey"," Kentucky",502.3,"stable",105
"395","Cass"," Illinois",530.3,"stable",87
"396","Cass"," Indiana",432.1,"stable",209
"397","Cass"," Iowa",486.7,"stable",99
"398","Cass"," Michigan",353.5,"stable",253
"399","Cass"," Missouri",454.6,"stable",548
"400","Cass"," Nebraska",474.3,"stable",152
"401","Cass"," North Dakota",480.9,"stable",736
"402","Cass"," Texas",454,"stable",194
"403","Cassia"," Idaho",348,"stable",85
"404","Castro"," Texas",388.9,"stable",34
"405","Caswell"," North Carolina",449.5,"stable",149
"406","Catahoula Parish"," Louisiana",592.1,"stable",74
