,name,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,County,State
11260,West Marinette 34,83,45.0869,-87.6892,Gas,2000,Madison Gas & Electric Co,0,0,0,0,56.797,Marinette,Wisconsin
11261,West Pemberton,7,40.0067,-74.7303,Solar,2014,NJR Clean Energy Ventures Corporation,NA,6.304,12.092,12.505,11.562,Burlington,New Jersey
11262,West Phoenix,1207.4,33.4417,-112.1583,Gas,1991.237287,Arizona Public Service Co,1711.635,1605.461,1799.154,2570.029,2725.192,Maricopa,Arizona
11263,West Point (GA),73.3,32.9187,-85.1887,Hydro,1975,USCE-Mobile District,252.263,187.641,195.238,160.155,137.653,Troup,Georgia
11264,West Point (PA),88.2,40.2205,-75.3016,Gas,1996.810658,Merck & Co Inc-West Point,331.5046,323.27064,311.98692,0,294.22638,Montgomery,Pennsylvania
11265,West Point Municipal,8.5,41.8449,-96.7134,Gas,1965.141176,City of West Point - (NE),0.025,0.056,0.035,0.03,0.046,Cuming,Nebraska
11266,West Point PH,13.6,38.4209,-120.5496,Hydro,1948,Pacific Gas & Electric Co.,72.156,52.18,37.963,78.889,87.978,Amador,California
11267,West Point Treatment Plant,4.6,47.6611,-122.4464,Biomass,2012,King County Dept-Natural Res,0,0,0,0,9.53,Kitsap,Washington
11268,West Receiving,2,42.0217,-95.3633,Oil,1998,City of Denison - (IA),0.008,0.008,0.011,0.008,0.008,Crawford,Iowa
11269,West Salisbury Farm LLC,5,35.6683,-80.5236,Solar,2015,West Salisbury Farm LLC,NA,NA,1.976,9.35,8.901,Rowan,North Carolina
11270,West Siler Farm LLC,5,35.7214,-79.5044,Solar,2017,West Siler Farm LLC,NA,NA,NA,NA,9.521,Chatham,North Carolina
11271,West Station (DE),20,39.7283,-75.6289,Oil,1964,Calpine Mid-Atlantic Generation LLC,0.08,0.06,0.103,0.37,0.038,New Castle,Delaware
11272,West Station (NJ),27,39.4912,-75.0486,Oil,1972,City of Vineland - (NJ),0.297,2.409,0.812,0.506,0.144,Cumberland,New Jersey
11273,West Tennessee Solar Farm,4.2,35.4086,-89.3875,Solar,2012,UT West Tennessee Solar Farm,5.095,5.794,5.818,6.051,5.66,Tipton,Tennessee
11274,West Texas Wind Energy LLC,75,31.1392,-102.2253,Wind,1999,West Texas Wind Energy Partners LLC,180.289,180.483,156.271,122.002,143.131,Upton,Texas
11275,West Tisbury Generating Facility,5.4,41.3925,-70.6201,Oil,1975,NRG Canal LLC,5.594,0.259,0.057,0.26,0.139,Dukes,Massachusetts
11276,West Valley Generation Project,217,40.6667,-112.0317,Gas,2001.6,Utah Municipal Power Agency,339.47,115.63,104.663,102.21,121.627,Salt Lake,Utah
11277,West Valley High School Solar,1,33.7197,-117.0097,Solar,2012,Sustainable Power Group  LLC,1.522,1.554,1.499,1.496,1.445,Riverside,California
11278,West Waconia Solar,8.5,44.7899,-93.9013,Solar,2017,Enel Green Power NA  Inc.,NA,NA,NA,0,9.732,Carver,Minnesota
11279,WestRock (IL),2.9,41.7697,-88.28,Gas,1992,WestRock (IL),0,0.029,0.014,0.008,0.009,Kane,Illinois
11280,WestRock (TX),57.7,30.3419,-94.0656,Biomass,1969.975737,WestRock (TX),451.079999,430.147236,424.086499,446.859001,423.34,Jasper,Texas
11281,WestRock (WA),64,47.2661,-122.4283,Biomass,2009,WestRock (WA),294.996001,311.151003,343.925998,339.445996,330.400001,Pierce,Washington
11282,WestRock Panama City Mill,34,30.142,-85.6211,Waste,1950.882353,WestRock Corp-Panama City,232.988257,236.607092,253.096996,252.692085,249.961883,Bay,Florida
11283,WestRock Southeast  LLC.,82.1,32.5036,-82.8443,Other,1989,SP Fiber Technologies LLC,416.219551,0,0,0,212.8302,Laurens,Georgia
11284,WestRock-West Point Mill,101,37.5392,-76.8053,Biomass,1975.841584,WestRock-West Point Mill,559.238,538.620005,566.979005,588.095007,584.389,King William,Virginia
11285,Westar Cities Solar,1,38.0194,-97.9753,Solar,2017,SoCore Energy LLC,NA,NA,NA,NA,1.118,Reno,Kansas
11286,Westborough Solar LLC,2.2,42.2633,-71.6092,Solar,2014,SunRay Power LLC,NA,0.694,2.572,2.812,2.469,Worcester,Massachusetts
11287,Westbrook,2.3,44.0399,-95.4429,Oil,2003,City of Westbrook,0.027,0.025,0.009,0.014,0.01,Murray,Minnesota
11288,Westbrook Energy Center Power Plant,563.9,43.6575,-70.375,Gas,2001,Westbrook Energy Center,2372.883,1838.911,1848.004,2183.067,1343.47,Cumberland,Maine
11289,Westchester Gas Recovery,3.6,41.8349,-87.9163,Waste,2004,31st Street Energy LLC,23.169,2.68,20.285,19.651,14.507,DuPage,Illinois
11290,Westend Facility,20,35.7075,-117.3956,Gas,1969,Searles Valley Minerals Operations Inc.,NA,NA,NA,NA,NA,San Bernardino,California
11291,Western 102 Power Plant,118.6,39.5603,-119.5108,Gas,2006.016863,Barrick Goldstrike Mines Inc,250.56,240.964,304.75,280.397,293.789,Washoe,Nevada
11292,Western Antelope Blue Sky B,20,34.7321,-118.3136,Solar,2017,Sustainable Power Group  LLC,NA,NA,NA,4.135,53.958,Los Angeles,California
