,Site.Name,Site.Score,State,City,County,Status,Latitude,Longitude,Proposed.Date,Listing.Date,Construction.Completion.Date,NOID.Date,Deletion.Date
2932,Teledyne Semiconductor,35.35,California,Mountain View,Santa Clara,NPL Site,37.4108,-122.0797,10/15/84,7/22/87,3/31/92,,
2933,"TRW Microwave, Inc. (Building 825)",31.94,California,Sunnyvale,Santa Clara,NPL Site,37.3846,-122.0085,6/24/88,2/21/90,9/17/93,,
2934,Fairchild Semiconductor Corp. (Mountain View Plant),31.94,California,Mountain View,Santa Clara,NPL Site,37.4012,-122.0542,10/15/84,2/11/91,8/24/99,,
2935,Sacramento Army Depot,44.46,California,Sacramento,Sacramento,NPL Site,38.520281,-121.3958,10/15/84,7/22/87,8/28/02,,
2936,Intel Corp. (Mountain View Plant),29.76,California,Mountain View,Santa Clara,NPL Site,37.3962,-122.0566,10/15/84,6/10/86,8/24/99,,
2937,Raytheon Corp.,29.76,California,Mountain View,Santa Clara,NPL Site,37.3975,-122.0533,10/15/84,6/10/86,8/24/99,,
2938,Moffett Naval Air Station,29.49,California,Sunnyvale,Santa Clara,NPL Site,37.411389,-122.0522,4/10/85,7/22/87,,,
2939,"Waste Disposal, Inc.",34.6,California,Santa Fe Springs,Los Angeles,NPL Site,33.95,-118.055,6/10/86,7/22/87,8/12/05,,
2940,Riverbank Army Ammunition Plant,63.94,California,Riverbank,Stanislaus,NPL Site,37.71695,-120.9181,6/24/88,2/21/90,9/30/97,,
2941,Southern California Edison Co. (Visalia Poleyard),48.91,California,Visalia,Tulare,Deleted NPL Site,36.333331,-119.2767,1/22/87,3/31/89,9/25/01,7/27/09,9/25/09
2942,Watkins-Johnson Co. (Stewart Division Plant),28.9,California,Scotts Valley,Santa Cruz,NPL Site,37.051111,-122.029028,1/22/87,8/30/90,9/22/94,,
2943,Fresno Municipal Sanitary Landfill,35.57,California,Fresno,Fresno,NPL Site,36.704169,-119.8261,6/24/88,10/4/89,,,
2944,Barstow Marine Corps Logistics Base,37.93,California,Barstow,San Bernardino,NPL Site,34.878331,-116.9389,7/14/89,11/21/89,,,
2945,"Sola Optical USA, Inc.",33.39,California,Petaluma,Sonoma,Deleted NPL Site,38.2332,-122.5931,6/24/88,2/21/90,8/14/92,7/24/13,10/31/13
2946,United Heckathorn Co.,38.49,California,Richmond,Contra Costa,NPL Site,37.9226,-122.3654,10/26/89,3/14/90,,,
2947,"Brown & Bryant, Inc. (Arvin Plant)",53.36,California,Arvin,Kern,NPL Site,35.203061,-118.822,6/24/88,10/4/89,,,
2948,Newmark Ground Water Contamination,35.57,California,San Bernardino,San Bernardino,NPL Site,34.171811,-117.3131,6/24/88,3/31/89,,,
2949,Hewlett-Packard (620-640 Page Mill Road),29.76,California,Palo Alto,Santa Clara,NPL Site,37.4214,-122.1434,6/24/88,2/21/90,9/16/97,,
2950,Fort Ord,42.24,California,Marina,Monterey,NPL Site,36.625,-121.75,7/14/89,2/21/90,,,
2951,"CTS Printex, Inc.",33.62,California,Mountain View,Santa Clara,NPL Site,37.4165,-122.0872,6/24/88,2/21/90,3/31/92,,
2952,Camp Pendleton Marine Corps Base,33.79,California,San Diego County,San Diego,NPL Site,33.306669,-117.3408,7/14/89,11/21/89,,,
2953,Intersil Inc./Siemens Components,28.9,California,Cupertino,Santa Clara,NPL Site,37.3361,-122.0015,6/24/88,8/30/90,9/8/92,,
2954,Sulphur Bank Mercury Mine,44.42,California,Clear Lake,Lake,NPL Site,39.00555,-122.6703,6/24/88,8/30/90,,,
2955,March Air Force Base,31.94,California,Riverside,Riverside,NPL Site,33.906389,-117.2557,7/14/89,11/21/89,,,
2956,"Spectra-Physics, Inc.",37.2,California,Mountain View,Santa Clara,NPL Site,37.40805,-122.0786,6/24/88,2/11/91,9/16/92,,
2957,Crazy Horse Sanitary Landfill,37.93,California,Salinas,Monterey,NPL Site,36.8026,-121.6186,6/24/88,8/30/90,,,
2958,El Toro Marine Corps Air Station,37.43,California,El Toro,Orange,NPL Site,33.676669,-117.7176,6/24/88,2/21/90,,,
2959,George Air Force Base,33.62,California,Victorville,San Bernardino,NPL Site,34.595,-117.3833,7/14/89,2/21/90,,,
2960,"Advanced Micro Devices, Inc. (Building 915)",31.94,California,Sunnyvale,Santa Clara,NPL Site,37.3868,-122.0066,6/24/88,8/30/90,3/25/92,,
2961,"Synertek, Inc. (Building 1)",31.94,California,Santa Clara,Santa Clara,NPL Site,37.3773,-121.9719,6/24/88,10/4/89,3/25/92,,
2962,Modesto Ground Water Contamination,28.9,California,Modesto,Stanislaus,NPL Site,37.6591,-120.9964,6/24/88,3/31/89,,,
2963,Jasco Chemical Corp.,35.36,California,Mountain View,Santa Clara,NPL Site,37.3988,-122.0882,6/24/88,10/4/89,9/20/02,,
2964,Pacific Coast Pipe Lines,46.01,California,Fillmore,Ventura,NPL Site,34.404169,-118.9028,6/24/88,10/4/89,9/27/96,,
2965,Hunters Point Naval Shipyard,48.77,California,San Francisco,San Francisco,NPL Site,37.72229,-122.36732,7/14/89,11/21/89,,,
2966,Lawrence Livermore National Laboratory (Site 300) (USDOE),31.58,California,Livermore,"Alameda, San Joaquin",NPL Site,37.644306,-121.576667,7/14/89,8/30/90,,,
2967,Tracy Defense Depot (USARMY),37.16,California,Tracy,San Joaquin,NPL Site,37.715281,-121.3911,7/14/89,8/30/90,9/26/12,,
2968,Travis Air Force Base,29.49,California,Solano County,Solano,NPL Site,38.26445,-121.9332,7/14/89,11/21/89,,,
2969,Edwards Air Force Base,33.62,California,Kern County,"Kern, Los Angeles, San Bernardino",NPL Site,34.949439,-117.8857,7/14/89,8/30/90,,,
2970,Western Pacific Railroad Co.,39.79,California,Oroville,Butte,Deleted NPL Site,39.483061,-121.5525,10/26/89,8/30/90,3/31/99,7/18/01,8/29/01
2971,Industrial Waste Processing,51.13,California,Fresno,Fresno,NPL Site,36.8425,-119.8094,10/26/89,8/30/90,9/28/99,,
2972,Stoker Company,70.94,California,Imperial,Imperial,Proposed NPL Site,32.910278,-115.544444,7/29/91,,,,
2973,Ralph Gray Trucking Co.,35.04,California,Westminster,Orange,Deleted NPL Site,33.75,-118,7/29/91,10/14/92,8/31/00,7/30/04,9/28/04
2974,McCormick & Baxter Creosoting Co.,74.86,California,Stockton,San Joaquin,NPL Site,37.947851,-121.306635,2/7/92,10/14/92,,,
2975,Jet Propulsion Laboratory (NASA),50,California,Pasadena,Los Angeles,NPL Site,34.201185,-118.167434,2/7/92,10/14/92,,,
2976,Concord Naval Weapons Station,50,California,Concord,Contra Costa,NPL Site,38.049444,-122,2/7/92,12/16/94,,,
2977,Laboratory for Energy-Related Health Research/Old Campus Landfill (USDOE),50,California,Davis,Solano,NPL Site,38.51875,-121.75125,1/18/94,5/31/94,,,
2978,Frontier Fertilizer,35.04,California,Davis,Yolo,NPL Site,38.553055,-121.673333,1/18/94,5/31/94,7/31/18,,
2979,Pemaco Maywood,45.23,California,Maywood,Los Angeles,NPL Site,33.985417,-118.17125,7/28/98,1/19/99,9/25/07,,
2980,Lava Cap Mine,33.66,California,Nevada City,Nevada,NPL Site,39.228056,-120.969861,9/29/98,1/19/99,,,
2981,Omega Chemical Corporation,30.94,California,Whittier,Los Angeles,NPL Site,33.969722,-118.042222,9/29/98,1/19/99,,,
2982,Alameda Naval Air Station,50,California,Alameda,Alameda,NPL Site,37.788889,-122.33,5/10/99,7/22/99,,,
2983,Leviathan Mine,50,California,Markleeville,Alpine,NPL Site,38.703889,-119.656111,10/22/99,5/11/00,,,
2984,Alark Hard Chrome,50.5,California,Riverside,Riverside,NPL Site,33.991886,-117.367186,7/27/00,12/1/00,,,
2985,Del Amo,47.12,California,Los Angeles,Los Angeles,NPL Site,33.846639,-118.289472,12/1/00,9/5/02,,,
2986,Cooper Drum Company,50,California,South Gate,Los Angeles,NPL Site,33.946972,-118.179694,1/11/01,6/14/01,,,
2987,Casmalia Resources,30,California,Casmalia,Santa Barbara,NPL Site,34.863125,-120.544303,6/14/01,9/13/01,,,
2988,AMCO Chemical,50,California,Oakland,Alameda,NPL Site,37.8025,-122.29375,4/30/03,9/29/03,,,
2989,Fairchild Semiconductor Corp. (South San Jose Plant),44.46,California,South San Jose,Santa Clara,NPL Site,37.2326,-121.7748,6/24/88,10/4/89,3/25/92,,
2990,Lorentz Barrel & Drum Co.,33.94,California,San Jose,Santa Clara,NPL Site,37.318611,-121.8644,6/24/88,10/4/89,9/29/98,,
2991,J.H. Baxter & Co.,34.78,California,Weed,Siskiyou,NPL Site,41.4364,-122.3707,6/24/88,10/4/89,9/14/01,,
2992,Klau/Buena Vista Mine,50,California,Paso Robles,San Luis Obispo,NPL Site,35.6259,-120.8967,9/23/04,4/19/06,,,
2993,Halaco Engineering Company,58.31,California,Oxnard,Ventura,NPL Site,34.138889,-119.181944,3/7/07,9/19/07,,,
2994,"Rockets, Fireworks, and Flares (RFF)",50,California,Rialto,San Bernardino,NPL Site,34.153683,-117.416567,9/3/08,9/23/09,,,
2995,New Idria Mercury Mine,31.66,California,Idria,San Benito,NPL Site,36.418392,-120.672511,3/10/11,9/16/11,,,
2996,Blue Ledge Mine,50.28,California,Rogue River - Siskiyou National Forest,Siskiyou,NPL Site,41.959961,-123.107442,3/10/11,9/16/11,,,
2997,Jervis B. Webb Co.,45.76,California,South Gate,Los Angeles,NPL Site,33.950325,-118.178017,9/16/11,5/10/12,,,
2998,Southern Avenue Industrial Area,50,California,South Gate,Los Angeles,NPL Site,33.946178,-118.176922,9/16/11,5/10/12,,,
2999,Argonaut Mine,58.31,California,Jackson,Amador,NPL Site,38.353333,-120.78575,4/7/16,9/9/16,,,
3000,Orange County North Basin,50,California,Orange County,Orange,Proposed NPL Site,33.854828,-117.930589,1/18/18,,,,
3001,Copper Bluff Mine,50,California,Hoopa,Humboldt,NPL Site,41.109972,-123.686,9/13/18,5/15/19,,,
3002,California Gulch,55.84,Colorado,Leadville,Lake,NPL Site,39.236111,-106.2692,12/30/82,9/8/83,,,
3003,"Central City, Clear Creek",51.39,Colorado,Idaho Springs,Clear Creek,NPL Site,39.75,-105.5,12/30/82,9/8/83,,,
3004,Denver Radium Site,44.11,Colorado,Denver,Denver,NPL Site,39.716669,-105,12/30/82,9/8/83,9/27/06,,
3005,Marshall Landfill,0,Colorado,Boulder County,Boulder,NPL Site,39.95,-105.2,12/30/82,9/8/83,8/25/93,,
3006,Sand Creek Industrial,59.65,Colorado,Commerce City,Adams,Deleted NPL Site,39.791669,-104.9361,12/30/82,9/8/83,9/29/94,8/28/96,12/20/96
3007,Woodbury Chemical Co.,44.87,Colorado,Commerce City,Adams,Deleted NPL Site,39.795,-104.9424,12/30/82,9/8/83,3/26/92,12/29/92,3/22/93
3008,Broderick Wood Products,35.13,Colorado,Denver,Adams,NPL Site,39.8148,-104.9989,9/8/83,9/21/84,9/30/96,,
3009,Lincoln Park,31.31,Colorado,Canon City,Fremont,NPL Site,38.4,-105.2333,9/8/83,9/21/84,,,
3010,Lowry Landfill,48.36,Colorado,Arapahoe County,Arapahoe,NPL Site,39.643331,-104.7083,9/8/83,9/21/84,9/28/06,,
3011,Eagle Mine,47.19,Colorado,"Minturn, Redcliff",Eagle,NPL Site,39.533331,-106.3917,10/15/84,6/10/86,9/17/01,,
3012,Smuggler Mountain,31.31,Colorado,Pitkin County,Pitkin,Deleted NPL Site,39.191669,-106.8107,10/15/84,6/10/86,9/26/96,8/9/99,9/23/99
3013,Uravan Uranium Project (Union Carbide Corp.),43.53,Colorado,Uravan,Montrose,NPL Site,38.366661,-108.7483,10/15/84,6/10/86,9/29/08,,
3014,Rocky Flats Plant (USDOE),64.32,Colorado,Golden,Jefferson,NPL Site,39.894169,-105.2017,10/15/84,10/4/89,9/29/06,,
3015,Rocky Mountain Arsenal (USARMY),58.15,Colorado,Adams County,Adams,NPL Site,39.835561,-104.8842,10/15/84,7/22/87,,,
3016,Chemical Sales Co.,37.93,Colorado,Denver,Denver,NPL Site,39.780831,-104.9136,6/24/88,8/30/90,3/27/00,,
3017,Air Force Plant PJKS,42.93,Colorado,Waterton,Jefferson,NPL Site,39.514219,-105.1337,7/14/89,11/21/89,2/24/14,,
3018,Smeltertown Site,58.56,Colorado,Salida,Chaffee,Proposed NPL Site,38.551944,-106.026944,2/7/92,,,,
3019,Summitville Mine,50,Colorado,Rio Grande County,Rio Grande,NPL Site,37.43,-106.585,5/10/93,5/31/94,9/30/13,,
3020,Vasquez Boulevard and I-70,50,Colorado,Denver,Denver,NPL Site,39.791667,-104.958333,1/19/99,7/22/99,,,
3021,Captain Jack Mill,50.56,Colorado,Ward,Boulder,NPL Site,40.055833,-105.503611,4/30/03,9/29/03,,,
3022,Standard Mine,50,Colorado,Gunnison National Forest,Gunnison,NPL Site,38.879167,-107.07389,4/27/05,9/14/05,,,
3023,Nelson Tunnel/Commodore Waste Rock,48.03,Colorado,Creede,Mineral,NPL Site,37.870833,-106.94,3/19/08,9/3/08,,,
3024,Colorado Smelter,50,Colorado,Pueblo,Pueblo,NPL Site,38.2491,-104.608,5/12/14,12/11/14,,,
3025,Bonita Peak Mining District,50,Colorado,San Juan County,San Juan,NPL Site,37.904031,-107.616619,4/7/16,9/9/16,,,
3026,Beacon Heights Landfill,46.77,Connecticut,Beacon Falls,New Haven,NPL Site,41.43195,-73.035281,12/30/82,9/8/83,9/9/98,,
3027,"Laurel Park, Inc.",0,Connecticut,Naugatuck Borough,New Haven,NPL Site,41.476939,-73.071661,12/30/82,9/8/83,9/11/98,,
3028,Solvents Recovery Service of New England,44.93,Connecticut,Southington,Hartford,NPL Site,41.6196,-72.878,12/30/82,9/8/83,9/4/18,,
3029,Yaworski Waste Lagoon,36.72,Connecticut,Canterbury,Windham,NPL Site,41.66945,-71.964161,12/30/82,9/8/83,9/20/00,,
3030,Kellogg-Deering Well Field,39.92,Connecticut,Norwalk,Fairfield,NPL Site,41.13055,-73.43195,9/8/83,9/21/84,9/23/96,,
3031,Old Southington Landfill,54.35,Connecticut,Southington,Hartford,Deleted NPL Site,41.579169,-72.881939,9/8/83,9/21/84,9/22/10,7/20/18,9/12/18
3032,Revere Textile Prints Corp.,41.06,Connecticut,Sterling,Windham,Deleted NPL Site,41.708331,-71.829169,6/10/86,7/22/87,9/30/92,3/1/94,9/2/94
3033,Nutmeg Valley Road,42.69,Connecticut,Wolcott,New Haven,Deleted NPL Site,41.5748,-72.9986,1/22/87,3/31/89,9/28/04,8/5/05,9/23/05
3034,Durham Meadows,33.94,Connecticut,Durham,Middlesex,NPL Site,41.48111,-72.681388,6/24/88,10/4/89,,,
3035,Cheshire Ground Water Contamination,35.57,Connecticut,Cheshire,New Haven,Deleted NPL Site,41.5575,-72.910833,6/24/88,8/30/90,12/31/96,3/21/97,7/2/97
3036,Linemaster Switch Corp.,33.71,Connecticut,Woodstock,Windham,NPL Site,41.940561,-71.966939,6/24/88,2/21/90,3/29/05,,
3037,Barkhamsted-New Hartford Landfill,38.05,Connecticut,Barkhamsted,Litchfield,NPL Site,41.980556,-73.047222,6/24/88,10/4/89,9/28/01,,
3038,Gallup's Quarry,46.29,Connecticut,Plainfield,Windham,NPL Site,41.665281,-71.924161,6/24/88,10/4/89,9/30/97,,
3039,Precision Plating Corp.,49.1,Connecticut,Vernon,Tolland,NPL Site,41.84975,-72.447911,6/24/88,10/4/89,,,
3040,New London Submarine Base,36.53,Connecticut,New London,New London,NPL Site,41.400139,-72.087081,10/26/89,8/30/90,,,
3041,"Raymark Industries, Inc.",0,Connecticut,Stratford,Fairfield,NPL Site,41.201278,-73.117222,1/18/94,4/25/95,,,
3042,Scovill Industrial Landfill,50,Connecticut,Waterbury,New Haven,NPL Site,41.550389,-73.010639,5/11/00,7/27/00,,,
3043,Broad Brook Mill,54.35,Connecticut,East Windsor,Hartford,Proposed NPL Site,41.916667,-72.547222,12/1/00,,,,
3044,Washington Navy Yard,48.57,District of Columbia,Washington,District of Columbia,NPL Site,38.875,-76.9875,3/6/98,7/28/98,,,
3045,Army Creek Landfill,69.92,Delaware,New Castle County,New Castle,NPL Site,39.653061,-75.608331,12/30/82,9/8/83,4/29/94,,
3046,Delaware Sand & Gravel Landfill,46.6,Delaware,New Castle County,New Castle,NPL Site,39.651389,-75.602781,12/30/82,9/8/83,8/12/97,,
3047,Delaware City PVC Plant,30.55,Delaware,Delaware City,New Castle,NPL Site,39.586111,-75.649439,12/30/82,9/8/83,9/26/01,,
3048,"Harvey & Knott Drum, Inc.",30.77,Delaware,Kirkwood,New Castle,NPL Site,39.573331,-75.770839,12/30/82,9/8/83,6/22/94,,
3049,New Castle Steel,30.4,Delaware,New Castle County,New Castle,Deleted NPL Site,39.657781,-75.577769,12/30/82,9/8/83,8/17/88,9/22/88,3/17/89
3050,New Castle Spill,38.33,Delaware,New Castle County,New Castle,Deleted NPL Site,39.670281,-75.561669,12/30/82,9/8/83,7/19/92,3/21/96,6/12/96
3051,Tybouts Corner Landfill,0,Delaware,New Castle County,New Castle,NPL Site,39.6125,-75.653339,12/30/82,9/8/83,9/11/95,,
3052,Wildcat Landfill,30.61,Delaware,Dover,Kent,Deleted NPL Site,39.120831,-75.5,12/30/82,9/8/83,9/30/92,1/13/03,3/14/03
3053,Coker's Sanitation Service Landfills,52.15,Delaware,Kent County,Kent,Deleted NPL Site,39.227219,-75.611389,4/10/85,7/22/87,9/29/93,6/3/11,8/2/11
3054,NCR Corp. (Millsboro Plant),38.21,Delaware,Millsboro,Sussex,NPL Site,38.5775,-75.283061,4/10/85,7/22/87,9/27/96,,
3055,Halby Chemical Co.,30.9,Delaware,New Castle,New Castle,NPL Site,39.718611,-75.537219,9/18/85,6/10/86,4/22/02,,
3056,"Standard Chlorine of Delaware, Inc.",35.42,Delaware,Delaware City,New Castle,NPL Site,39.599581,-75.635831,9/18/85,7/22/87,,,
3057,Tyler Refrigeration Pit,33.94,Delaware,Smyrna,Kent,Deleted NPL Site,39.295281,-75.618889,6/10/86,2/21/90,5/10/96,1/28/04,3/29/04
3058,Dover Gas Light Co.,35.57,Delaware,Dover,Kent,NPL Site,39.1558,-75.5277,1/22/87,10/4/89,,,
3059,"E.I. du Pont de Nemours & Co., Inc. (Newport Pigment Plant Landfill)",51.91,Delaware,Newport,New Castle,NPL Site,39.708331,-75.609169,1/22/87,2/21/90,9/19/02,,
3060,Sussex County Landfill No. 5,28.9,Delaware,Laurel,Sussex,Deleted NPL Site,38.535,-75.614169,6/24/88,10/4/89,12/29/94,7/30/01,9/28/01
3061,Sealand Limited,33.1,Delaware,Mount Pleasant,New Castle,Deleted NPL Site,39.5126,-75.71,6/24/88,8/30/90,3/27/92,2/10/97,7/1/97
3062,"Koppers Co., Inc. (Newport Plant)",33.56,Delaware,Newport,New Castle,NPL Site,39.704719,-75.624169,10/26/89,8/30/90,,,
3063,Dover Air Force Base,35.89,Delaware,Dover,Kent,NPL Site,39.127781,-75.466669,7/22/87,3/13/89,9/27/06,,
3064,"Chem-Solv, Inc.",37.93,Delaware,Cheswold,Kent,NPL Site,39.2216,-75.5764,6/24/88,8/30/90,6/30/98,,
3065,Millsboro TCE,50,Delaware,Millsboro,Sussex,Proposed NPL Site,38.588158,-75.298061,9/23/09,,,,
3066,Newark South Ground Water Plume,50,Delaware,Newark,New Castle,NPL Site,39.653889,-75.735,8/3/17,1/18/18,,,
3067,Hockessin Groundwater,50,Delaware,Hockessin,New Castle,NPL Site,39.78752,-75.696513,1/18/18,5/17/18,,,
3068,Blades Groundwater,50,Delaware,Blades,Sussex,Proposed NPL Site,38.631644,-75.610467,11/8/19,,,,
3069,Alpha Chemical Corp.,43.24,Florida,Galloway,Polk,Deleted NPL Site,28.100831,-82.009719,12/30/82,9/8/83,9/21/90,5/3/95,6/28/95
3070,American Creosote Works (Pensacola Plant),58.41,Florida,Pensacola,Escambia,NPL Site,30.404719,-87.236661,12/30/82,9/8/83,,,
3071,Brown Wood Preserving,45.51,Florida,Live Oak,Suwannee,Deleted NPL Site,30.3025,-83.01305,12/30/82,9/8/83,12/31/91,7/6/95,9/22/95
3072,Coleman-Evans Wood Preserving Co.,46.18,Florida,Whitehouse,Duval,Deleted NPL Site,30.313889,-81.842781,12/30/82,9/8/83,9/18/07,3/27/14,5/27/14
3073,Davie Landfill,57.86,Florida,Davie,Broward,Deleted NPL Site,26.0696,-80.3426,12/30/82,9/8/83,11/8/95,6/22/06,8/21/06
3074,Florida Steel Corp.,45.92,Florida,Indiantown,Martin,NPL Site,27.041111,-80.506111,12/30/82,9/8/83,9/11/97,,
3075,Gold Coast Oil Corp.,57.8,Florida,Miami,Miami-Dade,Deleted NPL Site,25.7434,-80.3112,12/30/82,9/8/83,6/23/92,8/21/96,10/9/96
3076,Hollingsworth Solderless Terminal,44.53,Florida,Fort Lauderdale,Broward,NPL Site,26.198331,-80.152219,12/30/82,9/8/83,6/4/93,,
3077,Kassauf-Kimerling Battery Disposal,53.42,Florida,Tampa,Hillsborough,Deleted NPL Site,27.967219,-82.39,12/30/82,9/8/83,9/24/98,8/5/99,10/2/00
3078,Miami Drum Services,53.56,Florida,Miami,Miami-Dade,NPL Site,25.837219,-80.313061,12/30/82,9/8/83,4/28/93,,
3079,Munisport Landfill,32.37,Florida,North Miami,Miami-Dade,Deleted NPL Site,25.908331,-80.154169,12/30/82,9/8/83,9/5/97,6/25/99,9/24/99
3080,Northwest 58th Street Landfill,49.43,Florida,Hialeah,Miami-Dade,Deleted NPL Site,25.833331,-80.347219,12/30/82,9/8/83,3/6/95,8/2/96,10/11/96
3081,Parramore Surplus,37.61,Florida,Mount Pleasant,Gadsden,Deleted NPL Site,30.660689,-84.69375,12/30/82,9/8/83,9/15/87,11/29/88,2/21/89
3082,Pickettville Road Landfill,42.94,Florida,Jacksonville,Duval,NPL Site,30.368611,-81.738889,12/30/82,9/8/83,9/24/08,,
3083,Pioneer Sand Co.,51.97,Florida,Warrington,Escambia,Deleted NPL Site,30.474169,-87.351389,12/30/82,9/8/83,12/31/91,12/1/92,2/8/93
3084,Reeves Southeastern Galvanizing Corp.,58.75,Florida,Tampa,Hillsborough,NPL Site,27.9725,-82.341939,12/30/82,9/8/83,9/10/19,,
3085,Sapp Battery Salvage,47.7,Florida,Cottondale,Jackson,NPL Site,30.728331,-85.3925,12/30/82,9/8/83,9/19/12,,
3086,Schuylkill Metals Corp.,59.16,Florida,Plant City,Hillsborough,Deleted NPL Site,28.010831,-82.143061,12/30/82,9/8/83,9/15/98,6/12/01,8/22/01
3087,Sherwood Medical Industries,39.83,Florida,Deland,Volusia,NPL Site,29.060831,-81.265,12/30/82,9/8/83,9/18/97,,
3088,Taylor Road Landfill,51.37,Florida,Seffner,Hillsborough,NPL Site,28.009719,-82.29305,12/30/82,9/8/83,6/18/99,,
3089,Tower Chemical Co.,44.03,Florida,Clermont,Lake,NPL Site,28.551389,-81.684719,12/30/82,9/8/83,,,
3090,Varsol Spill,44.46,Florida,Miami,Miami-Dade,Deleted NPL Site,25.8047,-80.2772,12/30/82,9/8/83,3/29/85,3/14/88,9/1/88
3091,Whitehouse Oil Pits,52.58,Florida,Whitehouse,Duval,Deleted NPL Site,30.3201,-81.8513,12/30/82,9/8/83,5/4/06,7/17/18,9/19/18
3092,Zellwood Ground Water Contamination,51.91,Florida,Zellwood,Orange,NPL Site,28.73195,-81.613331,12/30/82,9/8/83,9/16/03,,
3093,Sixty-Second Street Dump,49.09,Florida,Tampa,Hillsborough,Deleted NPL Site,27.969439,-82.386389,12/30/82,9/8/83,9/29/95,8/4/99,10/1/99
3094,Cabot/Koppers,36.69,Florida,Gainesville,Alachua,NPL Site,29.675,-82.323061,9/8/83,9/21/84,,,
3095,Dubose Oil Products Co.,34.18,Florida,Cantonment,Escambia,Deleted NPL Site,30.618061,-87.37695,10/15/84,6/10/86,9/25/95,8/4/04,10/1/04
3096,Hipps Road Landfill,31.94,Florida,Duval County,Duval,Deleted NPL Site,30.216939,-81.805561,9/8/83,9/21/84,9/2/94,12/29/11,2/27/12
3097,Peak Oil Co./Bay Drum Co.,58.15,Florida,Tampa,Hillsborough,NPL Site,27.9708,-82.3404,10/15/84,6/10/86,9/26/06,,
3098,"Pepper Steel & Alloys, Inc.",31.92,Florida,Medley,Miami-Dade,NPL Site,25.873611,-80.353331,9/8/83,9/21/84,9/28/93,,
3099,Sydney Mine Sludge Ponds,38.93,Florida,Brandon,Hillsborough,NPL Site,27.929166,-82.209166,6/10/86,10/4/89,6/28/99,,
3100,"Tri-City Oil Conservationist, Inc.",39.3,Florida,Tampa,Hillsborough,Deleted NPL Site,28.0318,-82.4015,9/8/83,9/21/84,9/21/87,3/14/88,9/1/88
3101,Wingate Road Municipal Incinerator Dump,31.72,Florida,Fort Lauderdale,Broward,NPL Site,26.1444,-80.1847,6/24/88,10/4/89,1/4/02,,
3102,Piper Aircraft Corp./Vero Beach Water & Sewer Department,31.13,Florida,Vero Beach,Indian River,NPL Site,27.647499,-80.415555,6/10/86,2/21/90,9/21/98,,
3103,Harris Corp. (Palm Bay Plant),35.57,Florida,Palm Bay,Brevard,NPL Site,28.030281,-80.601389,4/10/85,7/22/87,7/1/98,,
3104,Petroleum Products Corp.,40.11,Florida,Pembroke Park,Broward,NPL Site,25.9926,-80.1696,4/10/85,7/22/87,,,
3105,Yellow Water Road Dump,30.26,Florida,Baldwin,Duval,Deleted NPL Site,30.2803,-81.9717,9/18/85,6/10/86,10/3/96,12/23/98,5/18/99
3106,"Anodyne, Inc.",31.03,Florida,North Miami Beach,Miami-Dade,NPL Site,25.923189,-80.221531,6/24/88,2/21/90,,,
3107,Beulah Landfill,38.17,Florida,Pensacola,Escambia,Deleted NPL Site,30.513061,-87.345139,6/24/88,2/21/90,9/16/93,4/24/98,6/22/98
3108,Airco Plating Co.,42.47,Florida,Miami,Miami-Dade,NPL Site,25.8152,-80.2559,6/24/88,2/21/90,9/15/99,,
3109,Standard Auto Bumper Corp.,42.79,Florida,Hialeah,Miami-Dade,Deleted NPL Site,25.844444,-80.289721,6/24/88,10/4/89,10/4/94,8/27/07,10/26/07
3110,"B&B Chemical Co., Inc.",35.35,Florida,Hialeah,Miami-Dade,Deleted NPL Site,25.839581,-80.300139,6/24/88,8/30/90,10/1/94,6/6/14,8/5/14
3111,Woodbury Chemical Co. (Princeton Plant),39.43,Florida,Princeton,Miami-Dade,Deleted NPL Site,25.5367,-80.4124,6/24/88,8/30/90,6/25/92,8/21/95,11/27/95
3112,Madison County Sanitary Landfill,37.93,Florida,Madison,Madison,NPL Site,30.501111,-83.39375,6/24/88,8/30/90,2/4/97,,
3113,"Chemform, Inc.",37.93,Florida,Pompano Beach,Broward,Deleted NPL Site,26.219055,-80.141374,6/24/88,10/4/89,9/16/93,5/9/00,7/28/00
3114,Agrico Chemical Co.,44.98,Florida,Pensacola,Escambia,NPL Site,30.4512,-87.2256,6/24/88,10/4/89,9/23/99,,
3115,"Wilson Concepts of Florida, Inc.",37.93,Florida,Pompano Beach,Broward,Deleted NPL Site,26.218675,-80.142768,6/24/88,3/31/89,9/22/92,2/10/95,4/4/95
3116,BMI-Textron,35.34,Florida,Lake Park,Palm Beach,Deleted NPL Site,26.7937,-80.0738,6/24/88,8/30/90,8/11/94,9/19/02,11/18/02
3117,Anaconda Aluminum Co./Milgo Electronics Corp.,31.03,Florida,Miami,Miami-Dade,Deleted NPL Site,25.843061,-80.256531,10/26/89,8/30/90,11/22/94,3/23/98,7/9/98
3118,Jacksonville Naval Air Station,32.08,Florida,Jacksonville,Duval,NPL Site,30.22111,-81.682777,7/14/89,11/21/89,,,
3119,Cecil Field Naval Air Station,31.99,Florida,Jacksonville,Duval,NPL Site,30.23861,-81.902777,7/14/89,11/21/89,8/26/09,,
3120,Pensacola Naval Air Station,42.4,Florida,Pensacola,Escambia,NPL Site,30.357222,-87.283054,7/14/89,11/21/89,,,
