,Site.Name,Site.Score,State,City,County,Status,Latitude,Longitude,Proposed.Date,Listing.Date,Construction.Completion.Date,NOID.Date,Deletion.Date
3899,Whiteford Sales & Service Inc./Nationalease,51.87,Indiana,South Bend,St. Joseph,Deleted NPL Site,41.663889,-86.280281,6/24/88,8/30/90,9/29/95,5/3/96,9/6/96
3900,Conrail Rail Yard (Elkhart),42.24,Indiana,Elkhart,Elkhart,NPL Site,41.6634,-86.0115,6/24/88,8/30/90,7/12/04,,
3901,Continental Steel Corp.,31.85,Indiana,Kokomo,Howard,NPL Site,40.474169,-86.156299,6/24/88,3/31/89,8/1/13,,
3902,Galen Myers Dump/Drum Salvage,42.24,Indiana,Osceola,St. Joseph,NPL Site,41.695839,-86.0875,6/24/88,3/31/89,9/30/98,,
3903,Carter Lee Lumber Co.,35.4,Indiana,Indianapolis,Marion,Deleted NPL Site,39.7654,-86.1918,6/24/88,3/31/89,9/29/95,5/8/96,7/9/96
3904,Cam-Or Inc.,58.91,Indiana,Westville,La Porte,NPL Site,41.546528,-86.899306,9/25/97,3/6/98,,,
3905,Prestolite Battery Division,40.63,Indiana,Vincennes,Knox,NPL Site,38.691669,-87.501661,6/24/88,10/4/89,5/22/97,,
3906,Jacobsville Neighborhood Soil Contamination,35.52,Indiana,Evansville,Vanderburgh,NPL Site,37.979297,-87.563989,3/8/04,7/22/04,,,
3907,Elm Street Ground Water Contamination,50,Indiana,Terre Haute,Vigo,NPL Site,39.476586,-87.414319,9/27/06,3/7/07,,,
3908,Lusher Street Ground Water Contamination,50,Indiana,Elkhart,Elkhart,NPL Site,41.672922,-85.996225,9/19/07,3/19/08,,,
3909,"U.S. Smelter and Lead Refinery, Inc.",58.31,Indiana,East Chicago,Lake,NPL Site,41.616758,-87.464046,9/3/08,4/9/09,,,
3910,Lane Street Ground Water Contamination,40.53,Indiana,Elkhart,Elkhart,NPL Site,41.716847,-85.921006,4/9/09,9/23/09,,,
3911,Gary Development Landfill,30,Indiana,Gary,Lake,NPL Site,41.614061,-87.426447,3/10/11,9/16/11,,,
3912,Pike and Mulberry Streets PCE Plume,50,Indiana,Martinsville,Morgan,NPL Site,39.428661,-86.431789,9/18/12,5/24/13,,,
3913,Beck's Lake,50,Indiana,South Bend,St. Joseph,NPL Site,41.676581,-86.297514,5/24/13,12/12/13,,,
3914,Garden City Ground Water Plume,50,Indiana,Garden City,Bartholomew,NPL Site,39.186075,-85.930472,5/24/13,12/12/13,,,
3915,Keystone Corridor Ground Water Contamination,50,Indiana,Indianapolis,Marion,NPL Site,39.834722,-86.121667,5/24/13,12/12/13,,,
3916,North Shore Drive,50,Indiana,Elkhart,Elkhart,NPL Site,41.684722,-86.055,5/12/14,9/22/14,,,
3917,Kokomo Contaminated Ground Water Plume,50,Indiana,Kokomo,Howard,NPL Site,40.479444,-86.114128,9/22/14,3/26/15,,,
3918,Riverside Ground Water Contamination,50,Indiana,Indianapolis,Marion,Proposed NPL Site,39.781899,-86.185825,4/7/16,,,,
3919,Broadway Street Corridor Groundwater Contamination,50,Indiana,Anderson,Madison,NPL Site,40.1184,-85.6789,1/18/18,9/13/18,,,
3920,Franklin Street Groundwater Contamination,50,Indiana,Spencer,Owen,NPL Site,39.2849,-86.7645,1/18/18,5/17/18,,,
3921,Cliff Drive Groundwater Contamination,50,Indiana,Logansport,Cass,NPL Site,40.7432,-86.3803,9/13/18,5/15/19,,,
3922,Arkansas City Dump,0,Kansas,Arkansas City,Cowley,Deleted NPL Site,37.051669,-97.051669,12/30/82,9/8/83,9/8/92,9/20/95,3/1/96
3923,Doepke Disposal (Holliday),47.46,Kansas,Johnson County,Johnson,NPL Site,39.033331,-94.8,12/30/82,9/8/83,9/29/97,,
3924,Johns' Sludge Pond,35.94,Kansas,Wichita,Sedgwick,Deleted NPL Site,37.7371,-97.3156,12/30/82,9/8/83,1/31/91,9/10/91,1/6/92
3925,Cherokee County,58.15,Kansas,Cherokee County,Cherokee,NPL Site,37.003889,-94.823889,12/30/82,9/8/83,,,
3926,Big River Sand Co.,32.56,Kansas,Wichita,Sedgwick,Deleted NPL Site,37.726111,-97.400831,10/15/84,6/10/86,6/28/88,7/9/92,10/14/92
3927,Strother Field Industrial Park,33.62,Kansas,Cowley County,Cowley,NPL Site,37.170831,-97.031939,10/15/84,6/10/86,10/28/08,,
3928,Obee Road,33.62,Kansas,Hutchinson,Reno,NPL Site,38.063889,-97.851389,1/22/87,7/22/87,9/9/11,,
3929,29th & Mead Ground Water Contamination,35.35,Kansas,Wichita,Sedgwick,Deleted NPL Site,37.7336,-97.3266,6/24/88,2/21/90,,1/31/96,4/29/96
3930,Hydro-Flex Inc.,42.79,Kansas,Topeka,Shawnee,Deleted NPL Site,39.086939,-95.726111,6/24/88,3/31/89,6/30/92,4/8/93,11/9/93
3931,Pester Refinery Co.,30.16,Kansas,El Dorado,Butler,NPL Site,37.8438,-96.8574,6/24/88,3/31/89,9/8/99,,
3932,Formosa Mine,50,Oregon,Riddle,Douglas,NPL Site,42.854472,-123.382611,3/7/07,9/19/07,,,
3933,Black Butte Mine,50,Oregon,Cottage Grove,Lane,NPL Site,43.579516,-123.066808,9/23/09,3/4/10,,,
3934,Astoria Marine Construction Company,50,Oregon,Astoria,Clatsop,Proposed NPL Site,46.145309,-123.861233,3/10/11,,,,
3935,North Ridge Estates,0,Oregon,Klamath Falls,Klamath,NPL Site,42.2648,-121.7465,3/10/11,9/16/11,,,
3936,Blosenski Landfill,30.57,Pennsylvania,West Caln Township,Chester,NPL Site,40.02,-75.91055,12/30/82,9/8/83,9/18/98,,
3937,Brodhead Creek,31.09,Pennsylvania,Stroudsburg,Monroe,Deleted NPL Site,40.989719,-75.186669,12/30/82,9/8/83,9/30/97,5/22/01,7/23/01
3938,Bruin Lagoon,73.11,Pennsylvania,Bruin Borough,Butler,Deleted NPL Site,41.051111,-79.725,12/30/82,9/8/83,3/27/92,7/17/97,9/18/97
3939,Centre County Kepone,45.09,Pennsylvania,State College Borough,Centre,NPL Site,40.823611,-77.808331,12/30/82,9/8/83,9/4/16,,
3940,Craig Farm Drum,28.72,Pennsylvania,Parker,Armstrong,Deleted NPL Site,41.0446,-79.6825,12/30/82,9/8/83,12/27/95,7/30/13,9/30/13
3941,Douglassville Disposal,55.18,Pennsylvania,Douglassville,Berks,NPL Site,40.2575,-75.735281,12/30/82,9/8/83,7/17/02,,
3942,Drake Chemical,38.52,Pennsylvania,Lock Haven,Clinton,NPL Site,41.129169,-77.443611,12/30/82,9/8/83,9/29/00,,
3943,Enterprise Avenue,40.8,Pennsylvania,Philadelphia,Philadelphia,Deleted NPL Site,39.885,-75.2125,12/30/82,9/8/83,3/7/86,12/31/85,3/7/86
3944,Fischer & Porter Co.,29.07,Pennsylvania,Warminster,Bucks,NPL Site,40.183889,-75.0925,12/30/82,9/8/83,9/28/98,,
3945,Havertown PCP,38.34,Pennsylvania,Haverford,Delaware,NPL Site,39.982781,-75.318611,12/30/82,9/8/83,9/16/10,,
3946,Heleva Landfill,50.23,Pennsylvania,North Whitehall Township,Lehigh,NPL Site,40.670831,-75.5625,12/30/82,9/8/83,3/23/99,,
3947,Hranica Landfill,51.94,Pennsylvania,Buffalo Township,Butler,Deleted NPL Site,40.677219,-79.749439,12/30/82,9/8/83,5/26/94,6/19/97,9/18/97
3948,Kimberton,29.44,Pennsylvania,Kimberton Borough,Chester,NPL Site,40.12695,-75.575,12/30/82,9/8/83,9/22/93,,
3949,Lackawanna Refuse,36.57,Pennsylvania,Old Forge Borough,Lackawanna,Deleted NPL Site,41.37305,-75.755281,12/30/82,9/8/83,3/28/94,8/19/99,9/28/99
3950,Lehigh Electric & Engineering Co.,30.26,Pennsylvania,Old Forge Borough,Lackawanna,Deleted NPL Site,41.357531,-75.740689,12/30/82,9/8/83,3/7/86,12/31/85,3/7/86
3951,Lindane Dump,51.62,Pennsylvania,Harrison Township,Allegheny,NPL Site,40.6257,-79.7155,12/30/82,9/8/83,9/27/99,,
3952,Lord-Shope Landfill,38.89,Pennsylvania,Girard Township,Erie,NPL Site,41.977781,-80.3525,12/30/82,9/8/83,9/30/96,,
3953,Malvern TCE,46.69,Pennsylvania,Malvern,Chester,NPL Site,40.061669,-75.56805,12/30/82,9/8/83,7/23/10,,
3954,McAdoo Associates,0,Pennsylvania,McAdoo Borough,Schuylkill,Deleted NPL Site,40.878331,-76.001389,12/30/82,9/8/83,9/26/95,10/3/01,12/13/01
3955,Metal Banks,33.23,Pennsylvania,Philadelphia,Philadelphia,NPL Site,40.024169,-75.027781,12/30/82,9/8/83,3/23/10,,
3956,Mill Creek Dump,49.31,Pennsylvania,Erie,Erie,NPL Site,42.093331,-80.152781,9/8/83,9/21/84,9/26/01,,
3957,Moyers Landfill,37.62,Pennsylvania,Eagleville,Montgomery,Deleted NPL Site,40.155561,-75.433611,12/30/82,9/8/83,9/17/02,3/27/14,5/27/14
3958,Old City of York Landfill,33.93,Pennsylvania,Seven Valleys,York,NPL Site,39.840281,-76.759719,12/30/82,9/8/83,9/27/96,,
3959,Osborne Landfill,54.6,Pennsylvania,Grove City,Mercer,NPL Site,41.161111,-80.058331,12/30/82,9/8/83,9/21/98,,
3960,Palmerton Zinc Pile,42.93,Pennsylvania,Palmerton,Carbon,NPL Site,40.808331,-75.583339,12/30/82,9/8/83,,,
3961,Presque Isle,40.59,Pennsylvania,Erie,Erie,Deleted NPL Site,42.1497,-80.1333,12/30/82,9/8/83,3/8/88,7/28/88,2/13/89
3962,Resin Disposal,37.69,Pennsylvania,Jefferson Borough,Allegheny,Deleted NPL Site,40.2705,-79.9124,12/30/82,9/8/83,11/20/96,8/22/03,10/21/03
3963,Stanley Kessler,33.89,Pennsylvania,King of Prussia,Montgomery,NPL Site,40.083889,-75.355,12/30/82,9/8/83,11/2/98,,
3964,Taylor Borough Dump,30.94,Pennsylvania,Taylor Borough,Lackawanna,Deleted NPL Site,41.407219,-75.718331,9/8/83,9/21/84,12/31/88,8/19/99,9/30/99
3965,Voortman Farm,28.62,Pennsylvania,Upper Saucon Township,Lehigh,Deleted NPL Site,40.547,-75.4475,12/30/82,9/8/83,3/9/89,3/24/89,5/31/89
3966,Wade (ABM),36.63,Pennsylvania,Chester,Delaware,Deleted NPL Site,39.8337,-75.3775,12/30/82,9/8/83,6/29/88,12/2/88,3/23/89
3967,Westline Site,31.71,Pennsylvania,Westline,McKean,Deleted NPL Site,41.774719,-78.771669,12/30/82,9/8/83,2/22/91,12/17/91,10/14/92
3968,Berks Sand Pit,32.02,Pennsylvania,Longswamp Township,Berks,NPL Site,40.4646,-75.6273,9/8/83,9/21/84,6/28/94,,
3969,Dorney Road Landfill,46.1,Pennsylvania,Upper Macungie Township,Lehigh,Deleted NPL Site,40.527781,-75.654169,9/8/83,9/21/84,9/28/99,7/17/18,9/24/18
3970,East Mount Zion,41.01,Pennsylvania,Springettsbury Township,York,NPL Site,40.0075,-76.665281,9/8/83,9/21/84,2/4/99,,
